DETLOC,Name,Address,City,County,State,Zip,AOR,Date of Last Use,Date of First Use,Lat,Lng
DCDOCDC,DC DEPARTMENT OF CORRECTIONS,1923 VERMONT AVENUE NORTHWEST,WASHINGTON,DISTRICT OF COLUMBIA,DC,20001,WAS,3/11/09,9/3/92,38.91614,-77.0254583
DEAPDMI,DEARBORN POLICE DEPARTMENT,16099 MICHIGAN AVE,DEARBORN,WAYNE,MI,48126,DET,4/11/17,19/03/1991,42.3231468,-83.1725916
DEKALAL,DEKALB COUNTY DETENTION CENTER,2801 JORDAN ROAD,FORT PAYNE,DEKALB,AL,35968,NOL,4/11/17,2/9/08,34.428756,-85.760138
DEKALGA,DEKALB COUNTY JAIL,4415 MEMORIAL DR,DECATUR,DEKALB,GA,30032,ATL,28/12/2009,26/05/1981,33.747312,-84.311811
DEKABAL,DEKALB COUNTY JAIL,2801 JORDAN RD SW,FT PAYNE,DEKALB COUNTY,AL,35968,NOL,,,34.428756,-85.760138
DLAMOCA,DEL AMO PSYCHIATRIC HOSPITAL,23700 CAMINO DEL SOL,TORRANCE,LOS ANGELES,CA,90505,LOS,,,33.810303,-118.344168
DLRHOLD,DEL RIO HOLD ROOM,2401 DODSON AVENUE,DEL RIO,VAL VERDE,TX,78840,SNA,30/10/2017,1/7/13,29.393471,-100.899841
DHDFNJ,DELANEY HALL DETENTION FACILITY,451 DOREMUS AVENUE,NEWARK,NEWARK,NJ,7105,NEW,22/02/2017,29/08/2011,40.717437,-74.127789
DELAWPA,DELAWARE CO JAIL (GEORGE W. HILL),500 CHAYNEY ROAD,THORNTON,DELAWARE,PA,19373,PHI,4/11/17,15/07/2015,39.905218,-75.512939
DELWAOH,DELAWARE COUNTY JAIL,844 US 42 NORTH,DELAWARE,DELAWARE,OH,43015,DET,,,40.31287625,-83.0476755
DELAWNY,DELAWARE COUNTY JAIL,"COURT HOUSE SQUARE, 280 PHOEBEE LANE",DELHI,DELAWARE,NY,13753,BUF,7/2/08,29/10/1987,42.291623,-74.910731
DELTACO,DELTA COUNTY JAIL,P.O. BOX 172,DELTA,DELTA,CO,81416,DEN,5/8/09,15/07/1991,38.74310731,-108.0635233
DENTOTX,DENTON COUNTY JAIL,127 NORTH WOODROW LANE,DENTON,DENTON,TX,76205,DAL,18/08/2004,21/04/1995,33.2152388,-97.111896
DENCICO,DENVER CITY PADF,1330 CHEROKEE STREET,DENVER,DENVER,CO,80201,DEN,13/10/2009,10/5/91,39.73739606,-104.9915437
DENICDF,DENVER CONTRACT DETENTION FACILITY,3130 N. OAKLAND ST.,AURORA,ARAPAHOE,CO,80010,DEN,4/11/17,1986,39.7164154,-104.8511196
DENVECO,DENVER COUNTY JAIL,10500 EAST SMITH ROAD,DENVER,DENVER,CO,80239,DEN,16/10/2013,7/3/91,39.7674294,-104.8642515
DNHMCCO,DENVER HEALTH MEDICAL CENTER,777 BANNOCK STREET,DENVER,DENVER,CO,80204,DEN,30/09/2017,20/05/2014,39.72731935,-104.9911984
DENHOLD,DENVER HOLD ROOM,4730 PARIS ST.,DENVER,DENVER,CO,80239,DEN,1/11/17,7/10/07,39.78360657,-104.8487767
DEPCOGU,DEPARTMENT OF CORRECTIONS - MANGILAO,3 MASHBURN LANE,MANGILAO,GUAM,GU,96913,SFR,4/11/17,23/01/1995,13.448146,144.785942
GUDOCHG,DEPARTMENT OF CORRECTIONS HAGATNA,203 ASPINALL AVENUE,HAGATNA,GUAM,GU,96910,SFR,4/11/17,21/05/2009,13.475742,144.750595
DEPYOGU,DEPARTMENT OF YOUTH AFFAIRS,"169 SAN ISIDRO ST., BLDG. C",BARRIGADA,GUAM,GU,96921,SFR,26/05/2009,28/12/2000,13.382306,144.661975
DSMHOLD,DES MOINES HOLD ROOM,"222 5th Ave, Des Moines, IA 50309",DES MOINES,POLK,IA,50301,SPM,30/09/2017,17/06/2013,41.5854892,-93.6232534
DESCHOR,DESCHUTES COUNTY JAIL,DESCHUTES COUNTY SHERIFF'S DEPARTMENT,BEND,DESCHUTES,OR,97701,SEA,7/2/04,16/05/1991,44.10049,-121.306487
DSRTVCA,DESERT VALLEY HOSPITAL,16850 BEAR VALLEY ROAD,VICTORVILLE,COUNTY,CA,92395,LOS,27/12/2016,11/6/14,34.47175035,-117.297825
DVPSYAZ,DESERT VISTA PSYCHIATRIC,570 WEST BROWN ROAD,MESA,MARICOPA,AZ,85201,PHO,6/1/03,20/01/2002,33.43522723,-111.8415817
BOPDEV,DEVENS FEDERAL MEDICAL CENTER,ISM DEPARTMENT,AYER,MIDDLESEX,MA,1432,BOS,6/5/08,21/01/1998,42.526207,-71.619425
DEVILND,DEVILS LAKE LAW ENFORCEMENT CENTER,222 WEST WALNUT,DEVILS LAKE,RAMSEY,ND,58301,SPM,24/10/2005,17/03/1992,48.107525,-98.866656
DEWITIL,DEWITT COUNTY JAIL,101 WEST WASHINGTON,CLINTON,DE WITT,IL,61727,CHI,13/08/2006,27/06/1997,40.15351627,-88.96150789
DICKETX,DICKENS COUNTY DETENTION,100 AIRPORT RD.,SPUR,DICKENS,TX,79370,DAL,28/03/2007,6/7/04,33.44552,-100.860415
WIDODGE,"DODGE CORR INSTITUTE, WAU",1 WEST LINCOLN STREET,WAUPUN,DODGE,WI,53963,CHI,15/11/2015,18/05/2011,43.626618,-88.740012
DODGEWI,DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,DODGE,WI,53039,CHI,4/11/17,2/9/86,43.407113,-88.706195
DODGENE,DODGE COUNTY JAIL,428 NORTH BROAD STREET,FREMONT,DODGE,NE,68025,SPM,5/2/03,3/3/96,41.433173,-96.49867543
DVHOSTX,DOLLY VINSANT,400 HWY 77 WEST,SAN BENITO,CAMERON,TX,78586,SNA,16/10/2005,26/07/1996,26.136443,-97.621663
DONAANM,DONA ANA COUNTY DETENTION CENTER,1850 COPPER LOOP,LAS CRUCES,DONA ANA,NM,88004,ELP,5/2/17,8/5/01,32.30290445,-106.8074711
DORCHMD,DORCHESTER COUNTY DETENTION CENTER,829 FIELDCREST ROAD,CAMBRIDGE,DORCHESTER,MD,21613,BAL,6/6/13,29/09/1995,38.54829109,-76.0614035
DOUGLWI,DOUGLAS COUNTY,1409 HAMMOND AVENUE,SUPERIOR,DOUGLAS,WI,54880,CHI,20/08/2017,4/1/95,46.72174494,-92.09799847
DOUGLMN,DOUGLAS COUNTY,"509 3rd Ave W, Alexandria, MN 56308",ALEXANDRIA,DOUGLAS,MN,56308,SPM,23/05/2007,20/08/1996,45.8918636,-95.3845482
DOUGLOR,DOUGLAS COUNTY,"1036 SE Douglas Ave # 210 #124, Roseburg, OR 97470",ROSEBURG,DOUGLAS,OR,97470,SEA,27/02/2013,4/4/91,43.211979,-123.346009
DOCORNE,DOUGLAS COUNTY DEPARTMENT OF CORRECTIONS,710 SOUTH 17TH ST,OMAHA,DOUGLAS,NE,68102,SPM,4/11/17,5/3/91,41.25338965,-95.93899606
DUGLSCO,DOUGLAS COUNTY DETENTION FACILITY,4000 JUSTICE WAY,CASTLE ROCK,DOUGLAS,CO,80109,DEN,25/06/2007,26/09/2006,39.4025944,-104.8643521
DOUGLCO,DOUGLAS COUNTY JAIL,355 SOUTH WILCOX,CASTLE ROCK,DOUGLAS,CO,80104,DEN,19/05/2014,9/1/91,39.37282932,-104.860137
DVDHOLD,DOVER HOLDROOM,1305 MCD DRIVE,DOVER,KENT,DE,19901,PHI,13/09/2016,23/04/2009,39.15450667,-75.48795118
DRURYCO,DRURY INN,4380 PEORIA ST,DENVER,DENVER,CO,80239,DEN,2/4/17,23/03/2006,39.77648754,-104.84692
BOPDUB,DUBLIN FEDERAL CORRECTION INSTITUTION,5701 8TH ST - CAMP PARKS,DUBLIN,ALAMEDA,CA,94568,SFR,11/3/03,31/07/2001,37.717971,-121.894941
DUPAGIL,DUPAGE COUNTY SHERIFF'S OFFICE,501 NORTH COUNTY FARM ROAD,WHEATON,DUPAGE,IL,60187,CHI,14/08/2003,13/06/1985,41.871908,-88.145275
DURHOLD,DURANGO HOLDROOM,32 SHEPPARD DRIVE,DURANGO,FLOYD,CO,81303,DEN,,,37.237142,-107.874147
DUVALFL,DUVAL/JACKSONVILLE JAIL,500 EAST ADAMS STREET,JACKSONVILLE,DUVAL,FL,32202,MIA,13/09/2009,13/10/2008,30.326018,-81.649954
EAGLECO,EAGLE COUNTY JAIL,885 CHAMBERS AVE.,EAGLE,EAGLE,CO,81631,DEN,6/5/14,19/11/1990,39.662719,-106.819803
EBATOLA,EAST BATON ROUGE JAIL,2867 GENERAL ISAAC SMITH AVENUE,SCOTLANDVILLE,EAST BATON ROUGE,LA,70807,NOL,4/3/01,21/12/1987,30.534864,-91.163733
EFELILA,EAST FELICIANA PARISH PRISON,11315 BANK STREET,CLINTON,EAST FELICIANA,LA,70722,NOL,11/3/03,8/9/88,30.854012,-91.018812
EHDLGTX,EAST HIDALGO DETENTION CENTER,1330 HIGHWAY 107,LA VILLA,HIDALGO,TX,78562,SNA,4/11/17,23/03/2011,26.251743,-97.868119
EMESACA,EAST MESA DETENTION FACILITY,446 ALTA RD,SAN DIEGO,SAN DIEGO COUNTY,CA,92158,SND,10/10/15,31/05/2015,32.590096,-116.922136
WVEASTR,EASTERN REGIONAL JAIL,1406 CHARLES TOWN ROAD,MARTINSBURG,BERKELEY,WV,25401,PHI,20/09/2017,19/08/2006,39.437643,-77.96108
EASTEVA,EASTERN SHORE REGIONAL JAIL,5245 THE HORNES,EASTVILLE,NORTHAMPTON,VA,23347,BAL,,,37.354248,-75.950204
ELJUVCA,EASTLAKE JUVENILE HALL,1605 EASTLAKE AVE,LOS ANGELES,LOS ANGELES,CA,90033,LOS,26/02/2004,29/11/1989,34.06487326,-118.2078249
ECOLOWA,ECONOLODGE MOTEL,13910 PACIFIC HIGHWAY S.,TUKWILA,KING,WA,98168,SEA,1/4/11,6/4/98,47.47867886,-122.2840559
ECTORTX,ECTOR COUNTY CORRECTION CENTER,2500 SOUTH HIGHWAY 385,ODESSA,ECTOR,TX,79761,ELP,9/4/11,26/12/2002,31.773866,-102.36659
EDDCONM,EDDY COUNTY JAIL,201 NORTH MAIN STREET,CARLSBAD,EDDY,NM,88220,ELP,1/7/17,25/01/2012,32.421607,-104.226482
EDENDTX,EDEN DETENTION CENTER,"702 E Broadway St, Eden, TX 76837",EDEN,CONCHO,TX,76837,SNA,23/02/2010,15/11/1991,31.216752,-99.833807
EDCHOLD,EDEN HOLD ROOM,"702 E Broadway St, Eden, TX 76837",EDEN,CONCHO,TX,76837,DAL,22/09/2013,11/4/13,31.216752,-99.833807
BOPEDG,EDGEFIELD FEDERAL CORRECTIONAL INSTITUTE,"501 Gary Hill Rd, Edgefield, SC 29824",EDGEFIELD,EDGEFIELD,SC,29824,ATL,27/07/2003,26/01/1998,33.757843,-81.919164
ECC,EL CENTRO SERVICE PROCESSING CENTER,1115 NORTH IMPERIAL AVENUE,EL CENTRO,IMPERIAL,CA,92243,SND,25/09/2014,1973,32.8029622,-115.5697682
BOEHOLD,EL PASO BOEING DR HOLDROOM,6451 BOEING DRIVE,EL PASO,EL PASO,TX,79925,ELP,3/7/17,10/7/14,31.79183661,-106.4025598
ELPASCO,EL PASO COUNTY CRIMINAL JUSTICE CENTER,2739 EAST LAS VEGAS,COLORADO SPRINGS,EL PASO,CO,80906,DEN,2/11/17,18/12/1990,38.788166,-104.77912
ELPCOTX,EL PASO COUNTY JAIL (TEXAS),"12501 Montana Ave, El Paso, TX 79938",EL PASO,EL PASO,TX,79938,ELP,15/12/2003,19/11/1986,31.8102902,-106.2531937
ELPHOLD,EL PASO HOLD ROOM,8915 MONTANA AVE,EL PASO,EL PASO,TX,79925,ELP,4/11/17,25/11/2014,31.79644735,-106.3696513
EPCJUVI,EL PASO JUVENILE,8915 MONTANA ST.,EL PASO,EL PASO,TX,79925,ELP,4/11/17,27/10/1998,31.79644735,-106.3696513
EPC,EL PASO SERVICE PROCESSING CENTER,8915 MONTANA AVE.,EL PASO,EL PASO,TX,79925,ELP,4/11/17,1973,31.79644735,-106.3696513
BOPERE,EL RENO FEDERAL CORRECTIONAL INSTITUTE,"4205 OK-66, El Reno, OK 73036",EL RENO,CANADIAN,OK,73036,DAL,22/05/2006,6/3/81,35.508055,-97.8965641
ELBERCO,ELBERT COUNTY JAIL,"751 Ute Ave, Kiowa, CO 80117",KIOWA,ELBERT,CO,80117,DEN,8/12/08,7/2/90,39.3422995,-104.4640612
ELGPDIL,ELGIN POLICE DEPARTMENT,151 DOUGLAS AVENUE,ELGIN,KANE,IL,60120,CHI,31/08/2017,15/05/1992,42.039683,-88.283887
ELZICDF,ELIZABETH CONTRACT DETENTION FACILITY,625 EVANS STREET,ELIZABETH,UNION,NJ,7201,NEW,4/11/17,22/01/1990,40.66615695,-74.18969352
BOPELK,ELKTON FEDERAL CORRECTIONAL INSTITUTE,8730 SCROGGS ROAD,ELKTON,COLUMBIANA,OH,44415,DET,29/03/2005,9/8/01,40.7727182,-80.70445799
ELMORID,ELMORE COUNTY JAIL,2255 E. 8TH NORTH,MOUNTAIN HOME,ELMORE,ID,83647,SLC,4/11/17,15/06/2009,43.137034,-115.672984
EAZ,ELOY FEDERAL CONTRACT FACILITY,1705 EAST HANNA RD.,ELOY,PINAL,AZ,85131,PHO,4/11/17,10/3/91,32.8176772,-111.5192701
ELYRIOH,ELYRIA CITY JAIL,18 WEST AVENUE,ELYRIA,LORAIN,OH,44035,DET,6/8/03,22/06/2000,41.3692314,-82.1101114
EMBSYCO,EMBASSY SUITES HOTEL,4444 HAVANA ST.,DENVER,DENVER,CO,80239,DEN,26/09/2012,3/4/07,39.77833073,-104.8656473
EMMETIA,EMMET COUNTY JAIL,114 NORTH 6TH STREET,ESTHERVILLE,EMMET,IA,51334,SPM,10/2/03,26/01/1992,43.40316257,-94.83657471
BOPENG,ENGLEWOOD FEDERAL CORRECTIONAL INSTITUTION,9595 WEST QUINCEY AVE,LITTLETON,JEFFERSON,CO,80123,DEN,4/5/08,5/10/80,39.641094,-105.105552
EQXJVNY,EQUINOX SHELTER,35 SOUTH FERRY ST,ALBANY,ALBANY,NY,12202,BUF,23/05/2007,3/10/05,42.64247814,-73.75372064
EIRCONY,ERIE COUNTY CORRECTIONAL,11581 WALDEN AVENUE,ALDEN,ERIE,NY,14004,BUF,11/12/06,7/10/87,42.93496421,-78.5548993
ERICONY,ERIE COUNTY HOLDING CENTER,40 DELAWARE AVE,BUFFALO,ERIE,NY,14202,BUF,13/03/2009,23/04/1997,42.88714992,-78.87802902
EIRHONY,ERIE COUNTY HOLDING CENTER,40 DELAWARE AVENUE,BUFFALO,ERIE,NY,14202,BUF,14/03/2011,30/10/1987,42.88714992,-78.87802902
ERICOPA,ERIE COUNTY JAIL,1618 ASH STREET,ERIE,ERIE,PA,16503,PHI,4/11/17,17/10/1995,42.12477524,-80.06589689
ECMCBNY,ERIE COUNTY MEDICAL CENTER,462 GRIDER STREET,BUFFALO,ERIE,NY,14215,BUF,5/4/15,22/07/2013,42.92631005,-78.83216629
ESCAMAL,ESCAMBIA COUNTY DETENTION CENTER,316 COURT ST.,BREWTON,ESCAMBIA,AL,34626,NOL,18/12/2005,6/1/03,31.10687982,-87.07314388
ESSEXMA,ESSEX COUNTY,"20 Manning Ave, Middleton, MA 01949",MIDDLETON,ESSEX,MA,1949,BOS,2/2/11,10/4/92,42.5974072,-70.986788
ESSEXNJ,ESSEX COUNTY CORRECTIONAL FACILITY,354 DOREMUS AVENUE,NEWARK,ESSEX,NJ,7105,NEW,4/11/17,13/03/1990,40.7015141,-74.1371458
ESSEXNY,ESSEX COUNTY JAIL (NEW YORK),702 STOWERSVILLE ROAD,LEWIS,ESSEX,NY,12950,BUF,10/5/11,27/11/2008,44.28226567,-73.53923527
BOPEST,ESTILL FEDERAL CORRECTIONAL INSTITUTE,"100 Prison Rd, Estill, SC 29918",ESTILL,HAMPTON,SC,29918,ATL,1/8/05,7/12/91,32.721462,-81.250654
ETOWAAL,ETOWAH COUNTY JAIL (ALABAMA),827 FORREST AVENUE,GADSDEN,ETOWAH,AL,35901,NOL,4/11/17,2/3/96,34.01573709,-86.01193283
ETWHOLD,ETOWAH ERO HOLD ROOM,UNAVAILABLE,GADSDEN,ETOWAH,AL,35901,NOL,,,,
EUGHOLD,EUGENE HOLD ROOM,211 EAST 7TH AVENUE,EUGENE,LANE,OR,97401,SEA,27/09/2017,22/12/2009,44.052201,-123.0893848
EULESTX,EULESS CITY JAIL,1102 W. EULESS BLVD.,EULESS,TARRANT,TX,76040,DAL,4/11/17,27/08/1988,32.8316632,-97.0944679
AKFAIRB,FAIRBANKS CORRECTIONAL CENTER,1931 EAGAN STREET,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701,SEA,15/03/2017,24/02/1994,64.83457376,-147.7607932
FXADCVA,FAIRFAX COUNTY ADULT DETENTION CENTER,10520 JUDICIAL DRIVE,FAIRFAX,FAIRFAX,VA,22030,WAS,2/11/17,17/10/2003,38.84363394,-77.31119537
FAICOVA,FAIRFAX COUNTY JAIL,4110 CHAIN BRIDGE RD,FAIRFAX,FAIRFAX,VA,22030,WAS,31/03/2015,8/12/88,38.843436,-77.308527
BOPFAI,FAIRTON FEDERAL CORRECTIONAL INSTITUTE,"655 Fairton Millville Rd, Fairton, NJ 08320",FAIRTON,CUMBERLAND,NJ,8320,NEW,14/03/2006,28/06/1990,39.3899307,-75.1568634
FAULKSD,FAULK COUNTY JAIL,924 LAFOON AVENUE,FAULKTON,FAULK,SD,57438,SPM,4/5/11,11/4/99,45.0334399,-99.12613971
FAULKAR,FAULKNER COUNTY JAIL,801 LOCUST ST.,CONWAY,FAULKNER,AR,72034,NOL,7/1/09,5/12/03,35.088787,-92.442618
FAYETKY,FAYETTE COUNTY DETENTION CENTER,600 OLD FRANKFORD CR,LEXINGTON,FAYETTE,KY,40510,CHI,4/11/17,5/9/92,38.066097,-84.544851
FAYETTX,FAYETTE COUNTY JAIL,"1646 N Jefferson St, La Grange, TX 78945",LA GRANGE,FAYETTE,TX,78945,SNA,22/02/2007,22/02/2007,29.9219842,-96.881154
FAYHOLD,FAYETTEVILLE HOLD ROOM,P.O. BOX 1188 2887 N POINT CIRCLE,FAYETTEVILLE,WASHINGTON,AR,72701,NOL,14/01/2013,27/06/2010,36.10463,-94.178449
BOPGIL,FCI GILMER,201 FCI LANE,GLENVILLE,GILMER,WV,26351,PHI,11/5/17,11/5/17,38.915634,-80.784546
BOPVIM,FCI VICTORVILLE,"13777 Air Base Rd, Victorville, CA 92394",VICTORVILLE,SAN BERNARDINO,CA,92392,LOS,,,34.572116,-117.38012
FERRYWA,FERRY COUNTY JAIL,165 NORTH JEFFERSON,REPUBLIC,FERRY,WA,99166,SEA,22/10/2009,27/12/2003,48.649394,-118.733792
FINNEKS,FINNEY COUNTY JAIL,304 N. 9TH STREET,GARDEN CITY,FINNEY,KS,67846,CHI,25/03/2007,28/06/1990,37.96744131,-100.8763546
FIVECOH,FIVE COUNTY JOINT,18100 STATE ROUTE 4,MARYSVILLE,UNION,OH,43040,DET,18/06/2003,9/8/00,40.26400938,-83.36344023
FLATHMT,FLATHEAD COUNTY JAIL,800 SOUTH MAIN,KALISPELL,FLATHEAD,MT,59901,SLC,18/02/2015,20/11/1991,48.190659,-114.310815
BOPFLM,FLORENCE ADMAX US PENITENTIARY,"5880 CO-67, Florence, CO 81226",FLORENCE,FREMONT,CO,81226,DEN,28/09/2005,5/4/95,38.355415,-105.095057
BOPFLF,FLORENCE FEDERAL CORRECTIONAL INSTITUTE,"5880 CO-67, Florence, CO 81226",FLORENCE,FREMONT,CO,81226,DEN,21/02/2006,31/08/1992,38.355415,-105.095057
FLO,FLORENCE SERVICE PROCESSING CENTER,3250 NORTH PINAL PARKWAY,FLORENCE,PINAL,AZ,85132,PHO,4/11/17,31/08/1984,33.0649605,-111.3785048
FSF,FLORENCE STAGING FACILITY,3250 NORTH PINAL PARKWAY,FLORENCE,PINAL,AZ,85232,PHO,4/11/17,21/05/1986,33.0649605,-111.3785048
BOPFLP,FLORENCE US PENITENTIARY,"5880 CO-67, Florence, CO 81226",FLORENCE,FREMONT,CO,81226,DEN,22/06/2008,14/08/1992,38.355415,-105.095057
FLOYDIN,FLOYD COUNTY JAIL,311 WEST 1ST ST,NEW ALBANY,FLOYD,IN,47150,CHI,5/6/07,5/2/97,38.28438839,-85.82478876
JAMESGA,FOLKSTON ICE PROCESSING CENTER (D. RAY JAMES),3423 HIGHWAY 252 EAST,FOLKSTON,CHARLTON,GA,31537,ATL,4/11/17,30/01/2017,30.872094,-81.98247
FORDJKS,FORD COUNTY JAIL,1111 MILITARY,DODGE CITY,FORD,KS,67801,CHI,8/1/06,2/2/92,37.753723,-100.0024705
FORDJIL,FORD COUNTY JAIL,235 NORTH AMERICAN STREET,PAXTON,FORD,IL,60957,CHI,3/4/03,10/5/93,40.46354302,-88.09979733
BOPFOR,FORREST CITY FEDERAL CORRECTIONAL INSTITUTE,"1400 Dale Bumpers Rd, Forrest City, AR 72335",FOREST CITY,SAINT FRANCIS,AR,72336,NOL,3/3/05,24/09/1998,34.978952,-90.799038
FORKSWA,FORKS CITY JAIL,500 EAST DIVISION,FORKS,CLALLAM,WA,98331,SEA,19/09/2004,1/11/91,47.950304,-124.378674
FORSYNC,FORSYTH COUNTY JAIL,201 NORTH CHURCH STREET,WINSTON-SALEM,FORSYTH,NC,27101,ATL,4/11/17,22/03/2000,36.09651,-80.242718
FTBENTX,FORT BEND COUNTY JAIL,1410 RANSOM ROAD,RICHMOND,FT. BEND,TX,77469,HOU,1/10/02,28/10/1997,29.57483863,-95.75367308
BOPFTD,FORT DIX FEDERAL CORRECTIONAL INSTITUTE,"HARTFORD & POINTVILLE, BUILDING 5756",FORT DIX,BURLINGTON,NJ,8640,NEW,23/08/2006,14/07/1999,39.998774,-74.613586
FTLAUFL,FORT LAUDERDALE CITY JAIL,1300 W.BROWARD BLVD.,FT.LAUDERDALE,BROWARD,FL,33312,MIA,30/09/2004,9/2/93,26.1218264,-80.15849458
FMYHOLD,FORT MYERS ERO HOLD ROOM,8860 SALROSE LANE,FORT MYERS,LEE,FL,33912,MIA,2/12/16,2/12/16,26.5489061,-81.8083647
FSAHOLD,FORT SMITH HOLD ROOM,"4991 Old Greenwood Rd, Fort Smith, AR 72903",FORT SMITH,SEBASTIAN,AR,72901,NOL,16/12/2013,16/12/2013,35.3328677,-94.3878247
BOPFTW,FORT WORTH FEDERAL MEDICAL CENTER,3150 HORTON RD,FT. WORTH,TARRANT,TX,76619,DAL,7/1/05,25/08/1989,32.679605,-97.287077
FRANKWA,FRANKLIN COUNTY,1016 N 4TH ST,PASCO,FRANKLIN,WA,99301,SEA,22/12/2008,26/09/1996,46.213756,-119.042518
FRANKKY,FRANKLIN COUNTY,400 COFFEETREE RD,FRANKFORT,JESSAMINE,KY,40356,CHI,3/5/05,14/11/1996,38.181481,-84.858359
FRANKNC,FRANKLIN COUNTY DETENTION CENTER,285 T KEMP RD,LOUISBURG,FRANKLIN,NC,27549,ATL,15/12/2002,6/6/00,36.094528,-78.319572
GREENMA,FRANKLIN COUNTY HOUSE OF CORRECTION,160 ELM STREET,GREENFIELD,FRANKLIN,MA,1301,BOS,4/11/17,23/12/1998,42.5964024,-72.6124595
FRACONY,FRANKLIN COUNTY JAIL,"5 Bare Hill Rd, Malone, NY 12953",MALONE,FRANKLIN,NY,12953,BUF,5/3/08,31/08/1988,44.84944364,-74.28676071
FRANKME,FRANKLIN COUNTY JAIL (MAINE),"121 County Way, Farmington, ME 04938",FARMINGTON,FRANKLIN,ME,4938,BOS,29/01/2008,28/07/1999,44.6972244,-70.1586514
FRACOVT,FRANKLIN COUNTY JAIL (VERMONT),30 LINCOLN AVENUE,SAINT ALBANS,FRANKLIN,VT,5478,BOS,30/08/2017,30/12/1994,44.81129087,-73.08035913
FREDEMD,FREDERICK COUNTY DETENTION CENTER,7300 MARCIE'S CHOICE LANE,FREDERICK,FREDERICK,MD,21704,BAL,4/11/17,3/8/06,39.36508045,-77.41508036
FCOHOLD,FREDERICK HOLDROOM,3770 PURITAN WAY,FREDERICK,WELD,CO,80516,DEN,,,40.08366084,-104.9842897
FRDHOLD,FREDERICK HOLDROOM,3770 PURITAN WAY,FREDERICK,WELD,CO,80516,DEN,,,40.08366084,-104.9842897
FREEBMN,FREEBORN COUNTY ADULT DETENTION CENTER,411 SOUTH BROADWAY AVENUE,ALBERT LEA,FREEBORN,MN,56007,SPM,4/11/17,15/09/1996,43.6462546,-93.3677806
FREESTX,FREESTONE COUNTY JAIL,"102 E Main St, Fairfield, TX 75840",FAIRFIELD,FREESTONE,TX,75840,SNA,25/01/2006,16/03/2004,31.7263819,-96.148172
FREMOID,FREMONT COUNTY JAIL,146 NORTH SECOND WEST,ST. ANTHONY,FREMONT,ID,83445,SLC,7/3/06,6/3/06,43.968279,-111.684883
FREMOCO,FREMONT COUNTY JAIL (COLORADO),100 JUSTICE CENTER ROAD,CANON CITY,FREMONT,CO,81212,DEN,23/04/2014,24/10/1990,38.446849,-105.18313
FREMOWY,FREMONT COUNTY JAIL (WYOMING),450 NORTH 2ND STREET,LANDER,FREMONT,WY,82520,DEN,30/03/2009,21/03/2001,42.83628181,-108.7275751
FREMOIA,FREMONT COUNTY SHERIFF,701 CASS STREET,SIDNEY,FREMONT,IA,51652,SPM,5/1/03,12/8/02,40.747566,-95.644894
FRECOCA,FRESNO COUNTY JAIL,2200 FRESNO STREET,FRESNO,FRESNO,CA,93721,SFR,14/03/1999,29/01/1999,36.7291884,-119.8017545
FREHOLD,FRESNO HOLDROOM,733 L STREET,FRESNO,FRESNO,CA,93721,SFR,4/11/17,14/07/2006,36.73267589,-119.7852956
FRIOCTX,FRIO COUNTY JAIL,"502 S Cedar St, Pearsall, TX 78061",PEARSALL,FRIO,TX,78061,SNA,8/7/08,6/1/99,28.8879483,-99.0916754
FRONTNE,FRONTIER COUNTY JAIL,"308 Center Ave N, Curtis, NE 69025",CURTIS,FRONTIER,NE,69025,SPM,12/12/02,3/10/00,40.6311848,-100.5153723
FULCONY,FULTON COUNTY JAIL,"2712 NY-29, Johnstown, NY 12095",JOHNSTOWN,FULTON,NY,12095,BUF,28/11/2007,11/2/98,43.0180837,-74.3474438
GALLAMT,GALLATIN COUNTY JAIL,615 SOUTH 16TH STREET,BOZEMAN,GALLATIN,MT,59715,SLC,23/06/2010,27/02/1991,45.673753,-111.059585
GARFICO,GARFIELD COUNTY JAIL,P.O. BOX 249/701 COLORADO,GLENWOOD SPGS,GARFIELD,CO,81601,DEN,16/03/2008,16/09/1991,39.547988,-107.325732
CTGARCI,GARNER CORRECTIONAL INSTITUTE,50 NUNNSWAUK ROAD,NEWTOWN,FAIRFIELD,CT,6470,BOS,31/01/2007,10/8/00,41.400307,-73.27208
GARVIOK,GARVIN COUNTY DETENTION CENTER,201 WEST GRANT AVENUE,PAULS VALLEY,GARVIN,OK,73075,DAL,29/10/2017,4/3/93,34.740003,-97.222229
GASTNNC,GASTON COUNTY JAIL,425 NORTH MARIETTA STREET,GASTONIA,GASTON,NC,28052,ATL,4/11/17,25/05/2007,35.2675,-81.182088
GEAUGOH,GEAUGA COUNTY JAIL,12450 MERRITT DR,CHARDON,GEAUGA,OH,44024,DET,4/11/17,5/4/96,41.504557,-81.19155
GENESNY,GENESEE COUNTY JAIL,14 W. MAIN STREET,BATAVIA,CUMBERLAND,NY,14020,BUF,8/4/12,5/1/88,42.998731,-78.188095
GENEVOH,GENEVA CITY JAIL,44 NORTH FOREST ST,GENEVA,ASHTABULA,OH,44041,DET,21/10/2002,25/06/1993,41.80660031,-80.94606735
